LGA,Village,Gradient,Season,Replicates,Arthropods
Ovia NE,Ogua,Zero infestation,Wet,1,7
Ovia NE,Ogua,Zero infestation,Wet,2,8
Ovia NE,Ogua,Zero infestation,Wet,3,6
Ovia NE,Ogua,Zero infestation,Wet,4,15
Ovia NE,Ogua,Zero infestation,Wet,5,9
Ovia NE,Ogua,Zero infestation,Wet,6,4
Ovia NE,Ogua,Zero infestation,Wet,7,14
Ovia NE,Ogua,Zero infestation,Wet,8,5
Ovia NE,Ogua,Zero infestation,Wet,9,10
Ovia NE,Ogua,Zero infestation,Wet,10,3
Ovia NE,Ogua,Mild infestation,Wet,1,3
Ovia NE,Ogua,Mild infestation,Wet,2,1
Ovia NE,Ogua,Mild infestation,Wet,3,1
Ovia NE,Ogua,Mild infestation,Wet,4,3
Ovia NE,Ogua,Mild infestation,Wet,5,7
Ovia NE,Ogua,Mild infestation,Wet,6,18
Ovia NE,Ogua,Mild infestation,Wet,7,9
Ovia NE,Ogua,Mild infestation,Wet,8,1
Ovia NE,Ogua,Mild infestation,Wet,9,9
Ovia NE,Ogua,Mild infestation,Wet,10,9
Ovia NE,Ogua,High infestation,Wet,1,3
Ovia NE,Ogua,High infestation,Wet,2,1
Ovia NE,Ogua,High infestation,Wet,3,1
Ovia NE,Ogua,High infestation,Wet,4,3
Ovia NE,Ogua,High infestation,Wet,5,7
Ovia NE,Ogua,High infestation,Wet,6,18
Ovia NE,Ogua,High infestation,Wet,7,9
Ovia NE,Ogua,High infestation,Wet,8,1
Ovia NE,Ogua,High infestation,Wet,9,9
Ovia NE,Ogua,High infestation,Wet,10,9
Ovia NE,Ogua,Zero infestation,Dry,1,4
Ovia NE,Ogua,Zero infestation,Dry,2,32
Ovia NE,Ogua,Zero infestation,Dry,3,5
Ovia NE,Ogua,Zero infestation,Dry,4,0
Ovia NE,Ogua,Zero infestation,Dry,5,3
Ovia NE,Ogua,Zero infestation,Dry,6,2
Ovia NE,Ogua,Zero infestation,Dry,7,0
Ovia NE,Ogua,Zero infestation,Dry,8,1
Ovia NE,Ogua,Zero infestation,Dry,9,4
Ovia NE,Ogua,Zero infestation,Dry,10,10
Ovia NE,Ogua,Mild infestation,Dry,1,6
Ovia NE,Ogua,Mild infestation,Dry,2,1
Ovia NE,Ogua,Mild infestation,Dry,3,9
Ovia NE,Ogua,Mild infestation,Dry,4,14
Ovia NE,Ogua,Mild infestation,Dry,5,6
Ovia NE,Ogua,Mild infestation,Dry,6,2
Ovia NE,Ogua,Mild infestation,Dry,7,9
Ovia NE,Ogua,Mild infestation,Dry,8,4
Ovia NE,Ogua,Mild infestation,Dry,9,3
Ovia NE,Ogua,Mild infestation,Dry,10,3
Ovia NE,Ogua,High infestation,Dry,1,12
Ovia NE,Ogua,High infestation,Dry,2,36
Ovia NE,Ogua,High infestation,Dry,3,37
Ovia NE,Ogua,High infestation,Dry,4,32
Ovia NE,Ogua,High infestation,Dry,5,19
Ovia NE,Ogua,High infestation,Dry,6,150
Ovia NE,Ogua,High infestation,Dry,7,183
Ovia NE,Ogua,High infestation,Dry,8,39
Ovia NE,Ogua,High infestation,Dry,9,6
Ovia NE,Ogua,High infestation,Dry,10,14
Ovia NE,Iguegosagie,Zero infestation,Wet,1,31
Ovia NE,Iguegosagie,Zero infestation,Wet,2,1
Ovia NE,Iguegosagie,Zero infestation,Wet,3,8
Ovia NE,Iguegosagie,Zero infestation,Wet,4,4
Ovia NE,Iguegosagie,Zero infestation,Wet,5,12
Ovia NE,Iguegosagie,Zero infestation,Wet,6,10
Ovia NE,Iguegosagie,Zero infestation,Wet,7,7
Ovia NE,Iguegosagie,Zero infestation,Wet,8,12
Ovia NE,Iguegosagie,Zero infestation,Wet,9,10
Ovia NE,Iguegosagie,Zero infestation,Wet,10,13
Ovia NE,Iguegosagie,Mild infestation,Wet,1,19
Ovia NE,Iguegosagie,Mild infestation,Wet,2,13
Ovia NE,Iguegosagie,Mild infestation,Wet,3,13
Ovia NE,Iguegosagie,Mild infestation,Wet,4,16
Ovia NE,Iguegosagie,Mild infestation,Wet,5,7
Ovia NE,Iguegosagie,Mild infestation,Wet,6,16
Ovia NE,Iguegosagie,Mild infestation,Wet,7,21
Ovia NE,Iguegosagie,Mild infestation,Wet,8,12
Ovia NE,Iguegosagie,Mild infestation,Wet,9,17
Ovia NE,Iguegosagie,Mild infestation,Wet,10,8
Ovia NE,Iguegosagie,High infestation,Wet,1,26
Ovia NE,Iguegosagie,High infestation,Wet,2,14
Ovia NE,Iguegosagie,High infestation,Wet,3,31
Ovia NE,Iguegosagie,High infestation,Wet,4,35
Ovia NE,Iguegosagie,High infestation,Wet,5,7
Ovia NE,Iguegosagie,High infestation,Wet,6,50
Ovia NE,Iguegosagie,High infestation,Wet,7,25
Ovia NE,Iguegosagie,High infestation,Wet,8,15
Ovia NE,Iguegosagie,High infestation,Wet,9,9
Ovia NE,Iguegosagie,High infestation,Wet,10,5
Ovia NE,Iguegosagie,Zero infestation,Dry,1,15
Ovia NE,Iguegosagie,Zero infestation,Dry,2,6
Ovia NE,Iguegosagie,Zero infestation,Dry,3,89
Ovia NE,Iguegosagie,Zero infestation,Dry,4,25
Ovia NE,Iguegosagie,Zero infestation,Dry,5,6
Ovia NE,Iguegosagie,Zero infestation,Dry,6,3
Ovia NE,Iguegosagie,Zero infestation,Dry,7,6
Ovia NE,Iguegosagie,Zero infestation,Dry,8,67
Ovia NE,Iguegosagie,Zero infestation,Dry,9,30
Ovia NE,Iguegosagie,Zero infestation,Dry,10,2
Ovia NE,Iguegosagie,Mild infestation,Dry,1,12
Ovia NE,Iguegosagie,Mild infestation,Dry,2,44
Ovia NE,Iguegosagie,Mild infestation,Dry,3,83
Ovia NE,Iguegosagie,Mild infestation,Dry,4,30
Ovia NE,Iguegosagie,Mild infestation,Dry,5,6
Ovia NE,Iguegosagie,Mild infestation,Dry,6,12
Ovia NE,Iguegosagie,Mild infestation,Dry,7,8
Ovia NE,Iguegosagie,Mild infestation,Dry,8,12
Ovia NE,Iguegosagie,Mild infestation,Dry,9,8
Ovia NE,Iguegosagie,Mild infestation,Dry,10,16
Ovia NE,Iguegosagie,High infestation,Dry,1,12
Ovia NE,Iguegosagie,High infestation,Dry,2,16
Ovia NE,Iguegosagie,High infestation,Dry,3,15
Ovia NE,Iguegosagie,High infestation,Dry,4,5
Ovia NE,Iguegosagie,High infestation,Dry,5,7
Ovia NE,Iguegosagie,High infestation,Dry,6,1
Ovia NE,Iguegosagie,High infestation,Dry,7,22
Ovia NE,Iguegosagie,High infestation,Dry,8,21
Ovia NE,Iguegosagie,High infestation,Dry,9,13
Ovia NE,Iguegosagie,High infestation,Dry,10,9
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,1,17
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,2,11
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,3,14
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,4,17
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,5,9
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,6,16
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,7,42
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,8,15
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,9,29
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Wet,10,33
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,1,7
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,2,39
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,3,30
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,4,6
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,5,6
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,6,58
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,7,20
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,8,12
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,9,10
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Wet,10,19
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,1,28
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,2,36
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,3,18
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,4,12
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,5,21
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,6,20
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,7,47
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,8,31
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,9,40
 Uhunmwonde  ,Iguovbiobo,High infestation,Wet,10,31
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,1,7
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,2,24
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,3,9
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,4,22
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,5,22
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,6,14
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,7,8
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,8,31
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,9,10
 Uhunmwonde  ,Iguovbiobo,Zero infestation,Dry,10,14
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,1,29
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,2,68
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,3,16
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,4,11
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,5,18
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,6,18
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,7,17
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,8,28
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,9,8
 Uhunmwonde  ,Iguovbiobo,Mild infestation,Dry,10,36
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,1,20
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,2,35
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,3,17
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,4,3
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,5,19
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,6,22
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,7,19
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,8,10
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,9,16
 Uhunmwonde  ,Iguovbiobo,High infestation,Dry,10,16
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,1,31
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,2,33
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,3,42
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,4,11
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,5,13
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,6,36
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,7,20
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,8,21
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,9,27
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Wet,10,26
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,1,38
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,2,5
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,3,15
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,4,21
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,5,14
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,6,23
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,7,18
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,8,12
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,9,10
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Wet,10,10
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,1,10
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,2,30
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,3,85
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,4,27
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,5,22
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,6,12
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,7,80
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,8,39
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,9,41
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Wet,10,35
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,1,20
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,2,8
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,3,11
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,4,9
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,5,16
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,6,14
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,7,19
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,8,22
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,9,13
 Uhunmwonde  ,Ahor-Urokosa,Zero infestation,Dry,10,23
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,1,21
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,2,7
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,3,4
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,4,20
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,5,26
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,6,13
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,7,11
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,8,13
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,9,22
 Uhunmwonde  ,Ahor-Urokosa,Mild infestation,Dry,10,36
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,1,12
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,2,31
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,3,25
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,4,54
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,5,22
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,6,49
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,7,21
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,8,38
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,9,18
 Uhunmwonde  ,Ahor-Urokosa,High infestation,Dry,10,27
