"","Family","Chromolaena_level","BT1","BT2","BT3","BT4","BT5","BT6","BT7","BT8","BT9","BT10"
"1","Acrididae","0%",0,0,0,0,0,0,0,0,0,0
"2","Acrididae","<50%",0,0,0,0,0,0,0,0,0,0
"3","Acrididae",">50%",0,0,0,0,0,0,0,0,0,0
"4","Aerididae","0%",0,0,0,0,0,0,0,0,0,0
"5","Aerididae","<50%",0,0,0,0,0,0,0,0,0,0
"6","Aerididae",">50%",0,0,0,0,0,0,0,0,0,0
"7","Ageleniidae","0%",0,0,0,0,0,0,0,0,0,0
"8","Ageleniidae","<50%",0,0,0,0,0,0,0,0,0,0
"9","Ageleniidae",">50%",0,0,0,0,0,0,0,0,0,0
"10","Alydidae","0%",0,0,0,0,0,0,0,0,0,0
"11","Alydidae","<50%",0,0,0,0,0,0,0,0,0,0
"12","Alydidae",">50%",0,0,0,0,0,0,0,0,0,0
"13","Amplidae","0%",0,0,0,0,0,0,0,0,0,0
"14","Amplidae","<50%",0,0,0,0,0,0,0,0,0,0
"15","Amplidae",">50%",0,0,0,0,0,0,0,0,0,0
"16","Andrognathidae","0%",0,0,0,0,0,0,0,0,0,0
"17","Andrognathidae","<50%",0,0,0,0,0,0,0,0,0,0
"18","Andrognathidae",">50%",0,0,0,0,0,0,0,0,0,0
"19","Araneae","0%",0,0,0,0,0,0,0,0,0,0
"20","Araneae","<50%",0,0,0,0,0,0,0,0,0,0
"21","Araneae",">50%",0,0,0,0,0,0,0,0,0,0
"22","Archotermopsidae","0%",0,0,0,0,0,0,0,0,0,0
"23","Archotermopsidae","<50%",0,0,0,0,0,0,0,0,0,0
"24","Archotermopsidae",">50%",0,0,0,0,0,0,0,0,0,0
"25","Armadillidiidae","0%",0,0,0,0,0,0,0,0,0,0
"26","Armadillidiidae","<50%",0,0,0,0,0,0,0,0,0,0
"27","Armadillidiidae",">50%",0,0,0,0,0,0,0,0,0,0
"28","Blaberidae","0%",0,0,0,0,0,0,0,0,0,0
"29","Blaberidae","<50%",0,0,0,0,0,0,0,0,0,0
"30","Blaberidae",">50%",0,0,0,0,0,2,0,0,0,0
"31","Blattidae","0%",0,0,0,0,0,0,0,0,0,0
"32","Blattidae","<50%",0,0,0,0,0,0,0,0,0,0
"33","Blattidae",">50%",0,0,0,0,0,0,0,0,0,0
"34","Bruchidae","0%",0,0,0,0,0,0,0,0,0,0
"35","Bruchidae","<50%",0,0,0,0,0,0,0,0,0,0
"36","Bruchidae",">50%",0,0,0,0,0,1,0,0,0,0
"37","Calliphoridae","0%",0,0,0,0,0,0,0,0,0,0
"38","Calliphoridae","<50%",0,0,0,0,0,0,0,0,0,0
"39","Calliphoridae",">50%",0,0,0,0,0,0,0,0,0,0
"40","Carabidae","0%",0,0,0,0,0,0,0,0,0,0
"41","Carabidae","<50%",0,0,0,0,0,0,0,0,0,0
"42","Carabidae",">50%",0,0,0,0,0,0,0,0,0,0
"43","Cerambycidae","0%",0,1,0,0,0,0,0,0,0,0
"44","Cerambycidae","<50%",0,0,1,0,0,0,0,0,0,0
"45","Cerambycidae",">50%",0,0,0,0,0,0,1,0,0,0
"46","Ceratopogonidae","0%",0,0,0,0,0,0,0,0,0,0
"47","Ceratopogonidae","<50%",0,0,0,0,0,0,0,0,0,0
"48","Ceratopogonidae",">50%",0,0,0,0,0,0,0,0,0,0
"49","Chrysomelidae","0%",0,0,0,0,0,0,1,0,0,0
"50","Chrysomelidae","<50%",0,1,0,0,0,0,0,0,1,0
"51","Chrysomelidae",">50%",0,0,0,0,0,0,0,0,0,1
"52","Chysomelidae","0%",0,0,0,0,0,0,0,0,0,0
"53","Chysomelidae","<50%",0,0,0,0,0,0,0,0,0,0
"54","Chysomelidae",">50%",0,0,0,0,0,0,0,0,0,0
"55","Cicadellidae","0%",0,0,0,0,0,0,0,0,0,0
"56","Cicadellidae","<50%",0,0,0,0,0,0,0,0,0,0
"57","Cicadellidae",">50%",0,0,0,0,0,0,0,0,0,0
"58","Clastopteridae","0%",0,0,0,0,0,0,0,0,0,0
"59","Clastopteridae","<50%",0,0,0,0,0,0,0,0,0,0
"60","Clastopteridae",">50%",0,0,0,0,0,0,0,0,0,0
"61","Coccinellidae","0%",0,0,0,0,0,0,0,0,0,0
"62","Coccinellidae","<50%",0,0,1,0,1,0,0,0,1,0
"63","Coccinellidae",">50%",0,0,0,0,1,0,0,0,0,0
"64","Coreidae","0%",0,0,0,0,0,0,0,0,0,0
"65","Coreidae","<50%",0,0,0,0,0,0,0,0,0,0
"66","Coreidae",">50%",0,0,0,0,0,0,0,0,0,0
"67","Corylophidae","0%",0,0,0,0,0,0,0,0,0,0
"68","Corylophidae","<50%",0,0,0,0,0,0,0,0,0,0
"69","Corylophidae",">50%",0,0,0,0,0,0,0,0,0,0
"70","Cprinnidae","0%",0,0,0,0,0,0,0,0,0,0
"71","Cprinnidae","<50%",0,0,0,0,0,0,0,0,0,0
"72","Cprinnidae",">50%",0,0,0,0,0,0,0,0,0,0
"73","Crabronidae","0%",0,0,0,0,0,0,0,0,0,0
"74","Crabronidae","<50%",0,0,0,0,0,0,0,0,0,0
"75","Crabronidae",">50%",0,0,0,0,0,0,0,0,0,0
"76","Cryptophagidae","0%",0,0,0,0,0,0,0,0,0,0
"77","Cryptophagidae","<50%",0,0,0,0,0,0,0,0,0,0
"78","Cryptophagidae",">50%",0,0,0,0,0,0,0,0,0,0
"79","Ctenidae","0%",0,0,0,0,0,0,0,0,0,0
"80","Ctenidae","<50%",0,0,0,0,0,0,0,0,0,0
"81","Ctenidae",">50%",0,0,0,0,0,0,0,0,0,0
"82","Ctinidae","0%",0,0,0,0,0,0,0,0,0,0
"83","Ctinidae","<50%",0,0,0,0,0,0,0,0,0,0
"84","Ctinidae",">50%",0,0,0,0,0,0,0,0,0,0
"85","Curcilionidae","0%",0,0,0,0,0,0,0,0,0,0
"86","Curcilionidae","<50%",1,0,0,1,0,0,0,0,0,0
"87","Curcilionidae",">50%",0,0,0,1,0,0,0,0,0,0
"88","Curculionidae","0%",0,0,0,0,0,0,0,0,0,0
"89","Curculionidae","<50%",0,0,0,1,0,1,0,0,0,0
"90","Curculionidae",">50%",0,0,0,0,1,0,0,0,0,0
"91","Cydnidae","0%",0,0,0,0,0,0,0,0,0,0
"92","Cydnidae","<50%",0,0,0,0,0,0,0,0,0,0
"93","Cydnidae",">50%",0,0,0,0,0,0,0,0,0,0
"94","Cyrbaucheniidae","0%",0,0,0,0,0,0,0,0,0,0
"95","Cyrbaucheniidae","<50%",0,0,0,0,0,0,0,0,0,0
"96","Cyrbaucheniidae",">50%",0,0,0,0,0,0,0,0,0,0
"97","Dinidoridae","0%",0,0,0,0,0,0,0,1,0,0
"98","Dinidoridae","<50%",0,0,0,0,0,0,0,0,0,0
"99","Dinidoridae",">50%",0,0,0,0,0,0,0,0,0,0
"100","Dytiscidae","0%",0,0,0,0,0,0,0,0,0,0
"101","Ectobiidae","0%",0,2,0,0,0,0,0,0,0,0
"102","Ectobiidae","<50%",1,0,0,0,0,1,0,0,0,0
"103","Ectobiidae",">50%",0,0,0,0,0,0,0,0,0,0
"104","Elateridae ","0%",0,0,0,0,0,0,0,0,0,0
"105","Elateridae ","<50%",0,0,0,0,0,0,0,0,0,0
"106","Elateridae ",">50%",0,0,0,0,0,0,0,0,0,0
"107","Encyrtidae","0%",0,0,0,0,0,0,0,0,0,0
"108","Encyrtidae","<50%",0,0,0,0,1,0,0,0,0,0
"109","Encyrtidae",">50%",0,0,0,0,0,0,0,0,0,0
"110","Endomychidae","0%",0,0,0,0,0,0,0,0,0,0
"111","Endomychidae","<50%",0,0,0,0,0,0,0,0,0,0
"112","Endomychidae",">50%",0,0,0,0,0,0,0,0,0,0
"113","Erebidae","0%",0,0,0,0,0,0,0,0,0,0
"114","Erebidae","<50%",0,0,0,0,0,0,0,0,0,0
"115","Erebidae",">50%",0,0,0,0,0,0,0,0,0,0
"116","Euzetidae","0%",0,0,0,0,0,0,0,0,0,0
"117","Euzetidae","<50%",0,0,0,0,0,0,0,0,0,0
"118","Euzetidae",">50%",0,0,0,0,0,0,0,0,0,0
"119","Evaniidae","0%",0,0,0,0,0,0,0,0,0,0
"120","Evaniidae","<50%",0,0,0,0,0,0,0,0,0,0
"121","Evaniidae",">50%",0,0,0,0,0,0,0,0,0,0
"122","Forficulidae","0%",0,0,0,0,0,0,0,0,0,0
"123","Forficulidae","<50%",0,0,0,0,0,0,0,0,0,0
"124","Forficulidae",">50%",0,0,0,0,0,0,0,0,0,0
"125","Formicidae","0%",7,3,0,12,8,3,11,2,9,2
"126","Formicidae","<50%",5,5,6,8,3,6,0,0,1,0
"127","Formicidae",">50%",0,1,1,2,5,12,6,0,4,7
"128","Fulgoridae","0%",0,0,0,0,0,0,0,0,0,0
"129","Fulgoridae","<50%",0,0,0,0,0,0,0,0,0,0
"130","Fulgoridae",">50%",0,0,0,0,0,0,0,0,0,0
"131","Geocoridae","0%",0,0,0,0,0,0,0,0,0,0
"132","Geocoridae","<50%",0,0,0,0,0,0,0,0,0,0
"133","Geocoridae",">50%",0,0,0,0,0,0,0,0,0,0
"134","Glossinidae","0%",0,0,0,0,0,0,0,0,0,0
"135","Glossinidae","<50%",0,0,0,0,0,0,0,0,0,0
"136","Glossinidae",">50%",0,0,0,0,0,0,0,0,0,0
"137","Gnaphosidae","0%",0,0,0,0,0,0,0,0,0,0
"138","Gnaphosidae","<50%",0,0,0,0,0,0,0,0,0,0
"139","Gnaphosidae",">50%",0,0,0,0,0,1,0,0,0,0
"140","Gryllacrididae","0%",0,0,0,0,0,0,0,0,0,0
"141","Gryllacrididae","<50%",0,0,0,0,0,0,0,0,0,0
"142","Gryllacrididae",">50%",0,0,0,0,0,0,0,0,0,0
"143","Gryllidae","0%",0,0,0,0,0,0,0,0,0,0
"144","Gryllidae","<50%",0,0,0,0,0,0,0,0,0,0
"145","Gryllidae",">50%",0,0,0,0,0,0,0,0,0,0
"146","Hemiptera","0%",0,0,0,0,0,0,0,0,0,0
"147","Hemiptera","<50%",0,0,0,1,0,0,0,0,0,0
"148","Hemiptera",">50%",0,0,0,0,0,0,0,0,0,0
"149","Hodotermopsidae","0%",0,0,0,0,0,0,0,0,0,0
"150","Hodotermopsidae","<50%",0,0,0,0,0,0,0,0,0,0
"151","Hodotermopsidae",">50%",0,0,0,0,0,0,0,0,0,0
"152","Lagridae","0%",0,0,0,0,0,0,0,0,0,0
"153","Lagridae","<50%",0,0,0,0,0,0,0,0,0,0
"154","Lagridae",">50%",0,0,0,0,0,0,0,0,0,0
"155","Lampyridae","0%",0,0,0,0,0,0,0,0,0,0
"156","Lampyridae","<50%",0,0,0,0,0,0,0,0,0,0
"157","Lampyridae",">50%",0,0,0,0,0,0,0,0,0,0
"158","Linyphiidae","0%",0,0,0,0,0,0,0,0,0,0
"159","Linyphiidae","<50%",0,0,0,0,0,0,0,0,0,0
"160","Linyphiidae",">50%",0,0,0,0,0,0,2,0,0,0
"161","Lithobiidae","0%",0,0,0,0,0,0,0,0,0,0
"162","Lithobiidae","<50%",0,0,0,0,0,0,0,0,0,0
"163","Lithobiidae",">50%",0,0,0,0,0,0,0,0,0,0
"164","Lycidae","0%",0,0,0,0,0,0,0,0,0,0
"165","Lycidae","<50%",0,0,0,0,0,0,0,0,0,0
"166","Lycidae",">50%",0,0,0,0,0,0,0,0,0,0
"167","Lycosidae","0%",0,0,0,0,0,0,0,0,0,0
"168","Lycosidae","<50%",0,0,0,0,0,0,0,0,0,0
"169","Lycosidae",">50%",0,0,0,0,0,0,0,0,0,0
"170","Lygaeidae","0%",0,0,0,0,0,0,0,0,0,0
"171","Lygaeidae","<50%",0,0,0,0,0,0,0,0,0,0
"172","Lygaeidae",">50%",0,0,0,0,0,0,0,0,0,0
"173","Mantidae","0%",0,0,0,0,0,0,0,0,0,0
"174","Mantidae","<50%",0,0,0,0,0,0,0,0,0,0
"175","Mantidae",">50%",0,0,0,0,0,0,0,0,0,0
"176","Meinertellidae","0%",0,0,0,0,0,0,0,0,0,0
"177","Meinertellidae","<50%",0,0,0,0,0,0,0,0,0,0
"178","Meinertellidae",">50%",0,0,0,0,0,0,0,0,0,0
"179","Melolonthidae","0%",0,0,1,0,0,0,0,0,0,0
"180","Melolonthidae","<50%",0,0,0,0,0,0,0,0,0,0
"181","Melolonthidae",">50%",0,0,0,0,0,0,0,0,0,0
"182","Membracidae","0%",0,0,0,0,0,0,0,0,0,0
"183","Membracidae","<50%",0,0,0,0,0,0,0,0,0,0
"184","Membracidae",">50%",0,0,0,0,0,1,0,0,0,0
"185","Miridae","0%",0,0,0,0,0,0,0,0,0,0
"186","Miridae","<50%",0,0,0,0,0,0,0,0,0,0
"187","Miridae",">50%",0,0,0,0,0,0,0,0,0,0
"188","Muscidae","0%",0,0,0,0,0,0,0,0,0,0
"189","Muscidae","<50%",0,0,0,0,0,0,0,0,0,0
"190","Muscidae",">50%",0,0,0,0,0,0,0,0,0,0
"191","Mutillidae","0%",0,0,0,0,0,0,0,0,0,0
"192","Mutillidae","<50%",0,0,0,0,0,0,0,0,0,0
"193","Mutillidae",">50%",0,0,0,0,0,0,0,0,0,0
"194","Myrmeleontidae","0%",0,0,0,0,0,0,0,0,0,0
"195","Myrmeleontidae","<50%",0,0,0,0,0,0,0,0,0,0
"196","Myrmeleontidae",">50%",0,0,0,0,0,0,0,0,0,0
"197","Nabidae","0%",0,0,0,0,0,0,0,0,0,0
"198","Nabidae","<50%",0,0,0,0,0,0,0,0,0,1
"199","Nabidae",">50%",0,0,0,0,0,0,0,0,0,0
"200","Nemestrinidae","0%",0,0,0,0,0,0,0,0,0,0
"201","Nemestrinidae","<50%",0,0,0,0,0,0,0,0,0,0
"202","Nemestrinidae",">50%",0,0,0,0,0,0,0,0,0,0
"203","Nemonychidae","0%",0,0,1,0,0,0,0,0,0,0
"204","Nemonychidae","<50%",0,1,0,0,0,0,0,0,0,0
"205","Nemonychidae",">50%",0,0,0,0,0,0,0,0,0,0
"206","Nitidulidae","0%",0,0,0,0,0,0,0,0,0,0
"207","Nitidulidae","<50%",0,0,0,0,0,0,0,0,0,0
"208","Nitidulidae",">50%",0,0,0,0,0,0,0,0,0,0
"209","Nymphalidae","0%",0,0,0,0,0,0,0,0,0,0
"210","Nymphalidae","<50%",0,0,0,0,0,0,0,0,0,0
"211","Nymphalidae",">50%",0,0,0,0,0,0,0,0,0,0
"212","Oniscidae","0%",0,0,0,0,0,0,0,0,0,0
"213","Oniscidae","<50%",0,0,0,0,0,0,0,0,0,0
"214","Oniscidae",">50%",0,0,0,0,0,0,0,0,0,0
"215","Oxycarenidae","0%",0,0,0,0,0,0,0,0,0,0
"216","Oxycarenidae","<50%",0,0,0,0,0,0,0,0,0,0
"217","Oxycarenidae",">50%",0,0,0,0,0,0,0,0,0,0
"218","Palpimanidae","0%",0,0,0,0,0,0,0,0,0,0
"219","Palpimanidae","<50%",0,0,0,0,0,0,0,0,0,0
"220","Palpimanidae",">50%",0,0,0,0,0,0,0,0,0,0
"221","Paradoxomatidae","0%",0,0,0,0,0,0,0,0,0,0
"222","Paradoxomatidae","<50%",0,0,0,0,0,0,0,0,0,0
"223","Paradoxomatidae",">50%",0,0,0,0,0,0,0,0,0,0
"224","Pentatomidae","0%",0,0,0,0,0,0,1,0,0,0
"225","Pentatomidae","<50%",1,0,0,0,0,0,0,0,0,0
"226","Pentatomidae",">50%",1,0,0,0,0,0,0,0,0,0
"227","Phalangopsidae","0%",0,0,0,0,0,0,0,0,0,0
"228","Phalangopsidae","<50%",0,0,0,0,0,0,0,0,0,0
"229","Phalangopsidae",">50%",0,0,0,0,0,0,0,0,0,0
"230","Pholcidae","0%",0,1,0,0,0,0,0,0,0,0
"231","Pholcidae","<50%",0,0,0,0,0,0,0,0,0,0
"232","Pholcidae",">50%",0,0,0,0,0,0,0,0,0,0
"233","Piesmatidae","0%",0,0,0,0,0,0,0,0,0,0
"234","Piesmatidae","<50%",0,0,0,0,0,0,0,0,0,0
"235","Piesmatidae",">50%",0,0,0,0,0,0,0,0,0,0
"236","Plataspidae","0%",0,0,0,0,0,0,0,0,0,0
"237","Plataspidae","<50%",2,0,1,0,4,1,0,0,2,1
"238","Plataspidae",">50%",0,0,0,0,0,1,0,0,0,1
"239","Pompilidae","0%",0,0,0,0,0,0,0,0,0,0
"240","Pompilidae","<50%",0,0,0,0,0,0,0,0,0,0
"241","Pompilidae",">50%",0,0,0,0,0,0,0,0,0,0
"242","Pyrgomorphidae ","0%",0,0,0,0,0,0,0,0,0,0
"243","Pyrgomorphidae ","<50%",0,0,0,0,0,0,1,1,0,0
"244","Pyrgomorphidae ",">50%",0,0,0,0,0,0,0,0,1,0
"245","Pyrrhocoridae","0%",0,0,0,1,0,0,0,0,0,0
"246","Pyrrhocoridae","<50%",0,0,0,0,0,0,0,0,0,0
"247","Pyrrhocoridae",">50%",0,0,0,0,0,0,0,0,0,0
"248","Reduviidae","0%",0,0,0,1,0,0,0,0,0,0
"249","Reduviidae","<50%",0,0,0,0,0,0,0,0,0,0
"250","Reduviidae",">50%",0,0,0,0,0,0,0,0,1,0
"251","Rhapalidae","0%",0,0,0,0,0,0,0,0,0,0
"252","Rhapalidae","<50%",0,0,0,0,0,0,0,0,0,0
"253","Rhapalidae",">50%",0,0,0,0,0,0,0,0,0,0
"254","Rhyparochromidae","0%",0,0,0,0,0,0,0,0,0,0
"255","Rhyparochromidae","<50%",0,0,0,0,0,0,0,0,0,0
"256","Rhyparochromidae",">50%",0,0,0,0,0,0,0,0,0,0
"257","Salticidae","0%",0,0,0,0,0,0,0,0,0,0
"258","Salticidae","<50%",0,0,0,0,2,0,0,0,0,0
"259","Salticidae",">50%",1,0,0,0,0,0,0,1,0,0
"260","Scarabaeidae","0%",0,1,4,1,0,0,0,2,0,0
"261","Scarabaeidae","<50%",0,1,0,1,0,0,0,0,0,0
"262","Scarabaeidae",">50%",1,0,0,0,0,0,0,0,0,0
"263","Scatelleridae","0%",0,0,0,0,0,0,0,0,0,0
"264","Scatelleridae","<50%",0,0,0,0,0,0,0,0,0,0
"265","Scatelleridae",">50%",0,0,0,0,0,0,0,0,0,0
"266","Scelionidae","0%",0,0,0,0,0,0,0,0,0,0
"267","Scelionidae","<50%",0,0,0,0,0,0,0,0,0,0
"268","Scelionidae",">50%",0,0,0,0,0,0,0,0,0,0
"269","Scolopendridae","0%",0,0,0,0,0,0,0,0,0,0
"270","Scolopendridae","<50%",0,0,0,0,0,0,0,0,0,0
"271","Scolopendridae",">50%",0,0,0,0,0,0,0,0,0,0
"272","Scutelleridae","0%",0,0,0,0,0,0,0,0,0,0
"273","Scutelleridae","<50%",0,0,0,0,0,0,0,0,0,0
"274","Scutelleridae",">50%",0,0,0,0,0,0,0,0,0,0
"275","Segetriidae","0%",0,0,0,0,0,0,0,0,0,0
"276","Segetriidae","<50%",0,0,0,0,0,0,0,0,0,0
"277","Segetriidae",">50%",0,0,0,0,0,0,0,0,0,0
"278","Sphecidae","0%",0,0,0,0,0,0,0,0,0,0
"279","Sphecidae","<50%",0,0,0,0,0,0,0,0,0,0
"280","Sphecidae",">50%",0,0,0,0,0,0,0,0,0,0
"281","Spirostreptidae","0%",0,0,0,0,0,0,0,0,0,1
"282","Spirostreptidae","<50%",0,0,0,0,0,0,0,0,0,0
"283","Spirostreptidae",">50%",0,0,0,0,0,0,0,0,0,0
"284","Staphylinidae","0%",0,0,0,0,0,0,0,0,0,0
"285","Staphylinidae","<50%",0,0,0,0,0,0,0,0,0,0
"286","Staphylinidae",">50%",0,0,0,0,0,0,0,0,0,0
"287","Stratiomyidae","0%",0,0,0,0,0,0,0,0,0,0
"288","Stratiomyidae","<50%",0,0,0,0,0,0,0,0,0,0
"289","Stratiomyidae",">50%",0,0,0,0,0,0,0,0,0,0
"290","Tenebrionidae","0%",0,0,0,0,0,1,0,0,0,0
"291","Tenebrionidae","<50%",0,0,0,0,0,0,0,0,0,0
"292","Tenebrionidae",">50%",0,0,0,0,0,0,0,0,0,0
"293","Tetrigidae","0%",0,0,0,0,0,0,0,0,0,0
"294","Tetrigidae","<50%",0,0,0,0,0,0,0,0,0,0
"295","Tetrigidae",">50%",0,0,0,0,0,0,0,0,0,0
"296","Tettigoniidae","0%",0,0,0,0,0,0,0,0,0,0
"297","Tettigoniidae","<50%",0,0,0,0,0,0,0,0,0,0
"298","Tettigoniidae",">50%",0,0,0,0,0,0,0,0,0,0
"299","Thericleidae","0%",0,0,0,0,0,0,0,0,0,0
"300","Thericleidae","<50%",0,0,0,0,0,0,0,0,0,0
"301","Thericleidae",">50%",0,0,0,0,0,0,0,0,0,0
"302","Theridiosomatidae","0%",0,0,0,0,0,0,0,0,0,0
"303","Theridiosomatidae","<50%",0,0,0,0,0,0,0,0,0,0
"304","Theridiosomatidae",">50%",0,0,0,0,0,0,0,0,0,0
"305","Thyreocoridae","0%",0,0,0,0,0,0,0,0,0,0
"306","Thyreocoridae","<50%",0,0,0,0,0,0,0,0,0,0
"307","Thyreocoridae",">50%",0,0,0,0,0,0,0,0,0,0
"308","Tingidae","0%",0,0,0,0,0,0,0,0,0,0
"309","Tingidae","<50%",1,0,0,0,0,0,0,0,0,0
"310","Tingidae",">50%",0,0,0,0,0,0,0,0,0,0
"311","Tiphiidae","0%",0,0,0,0,0,0,0,0,0,0
"312","Tiphiidae","<50%",0,0,0,0,0,0,0,0,0,0
"313","Tiphiidae",">50%",0,0,0,0,0,0,0,0,0,0
"314","Tipulidae","0%",0,0,0,0,0,0,0,0,0,0
"315","Tipulidae","<50%",0,0,0,0,0,0,0,0,0,0
"316","Tipulidae",">50%",0,0,0,0,0,0,0,0,0,0
"317","Titanoecidae","0%",0,0,0,0,0,0,0,0,0,0
"318","Titanoecidae","<50%",0,0,0,0,0,0,0,0,0,0
"319","Titanoecidae",">50%",0,0,0,0,0,0,0,0,0,0
"320","Ulidiidae","0%",0,0,0,0,0,0,0,0,0,0
"321","Ulidiidae","<50%",0,0,0,0,0,0,0,0,0,0
"322","Ulidiidae",">50%",0,0,0,0,0,0,0,0,0,0
"323","Unknown","0%",0,0,0,0,0,0,0,0,0,0
"324","Unknown","<50%",0,0,0,0,1,0,0,0,0,0
"325","Unknown",">50%",0,0,0,0,0,0,0,0,3,0
"326","Veliidae","0%",0,0,0,0,0,0,0,0,0,0
"327","Veliidae","<50%",0,0,0,0,0,0,0,0,0,0
"328","Veliidae",">50%",0,0,0,0,0,0,0,0,0,0
"329","Zodariidae","0%",0,0,0,0,0,0,0,0,0,0
"330","Zodariidae","<50%",0,0,0,0,0,0,0,0,0,0
"331","Zodariidae",">50%",0,0,0,0,0,0,0,0,0,0
"332","carabidae","0%",0,0,0,0,0,0,0,0,1,0
"333","carabidae","<50%",0,0,0,0,0,0,0,0,0,0
"334","carabidae",">50%",0,0,0,0,0,0,0,0,0,0
"335","formicidae","0%",0,0,0,0,1,0,1,0,0,0
"336","formicidae","<50%",0,0,0,0,0,0,0,0,0,0
"337","formicidae",">50%",0,0,0,0,0,0,0,0,0,0
"338","lycidae","0%",0,0,0,0,0,0,0,0,0,0
"339","lycidae","<50%",0,0,0,0,0,0,0,0,0,0
"340","lycidae",">50%",0,0,0,0,0,0,0,0,0,0
"341","salticidae","0%",0,0,0,0,0,0,0,0,0,0
"342","salticidae","<50%",0,0,0,0,0,0,0,0,0,0
"343","salticidae",">50%",0,0,0,0,0,0,0,0,0,0
"344","unknown","0%",0,0,0,0,0,0,0,0,0,0
"345","unknown","<50%",0,0,0,0,0,0,0,0,0,0
"346","unknown",">50%",0,0,0,0,0,0,0,0,0,0
