Location,Site,Order,Araneae,Blattodae,Coleoptera,Dermaptera,Diptera,Hemiptera,Hymenoptera,Isopoda,Lepidoptera,Lithoblomorpha,Neuroptera,Oribatida,Orthoptera,Polydesmida,Scolopendromorpha,Spirostreptida,Thysanura,Unknown
Ogua,0,PT1,1,0,2,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0
Ogua,0,PT2,1,0,2,0,1,0,4,0,0,0,0,0,4,0,0,1,0,0
Ogua,0,PT3,3,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT4,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT5,2,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT6,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
Ogua,0,PT7,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0
Ogua,0,PT9,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT10,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
Ogua,0,PT11,3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0
Ogua,0,PT12,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT13,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT14,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
Ogua,0,PT15,2,0,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT1,2,0,6,0,2,0,1,1,0,0,0,0,3,0,0,0,0,0
Ogua,<50%,PT2,0,0,11,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0
Ogua,<50%,PT3,1,0,5,0,3,0,4,0,0,0,0,0,1,0,0,2,0,0
Ogua,<50%,PT4,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT5,2,0,14,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT6,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Ogua,<50%,PT7,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
Ogua,<50%,PT8,0,0,11,0,1,0,11,1,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,PT9,1,0,3,0,1,0,5,0,0,0,0,0,2,0,0,1,0,0
Ogua,<50%,PT10,2,0,4,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0
Ogua,<50%,PT11,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT12,1,0,4,0,2,1,2,0,1,0,0,0,1,0,0,0,0,0
Ogua,<50%,PT13,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT14,0,0,6,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0
Ogua,<50%,PT15,1,0,2,0,0,1,14,1,0,0,0,0,1,0,0,0,0,1
Ogua,>50%,PT1,2,0,1,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0
Ogua,>50%,PT2,0,0,3,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0
Ogua,>50%,PT3,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Ogua,>50%,PT4,5,3,8,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1
Ogua,>50%,PT5,7,0,3,0,1,0,2,0,0,0,0,0,3,0,0,1,0,0
Ogua,>50%,PT6,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Ogua,>50%,PT7,1,0,4,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0
Ogua,>50%,PT8,2,0,6,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0
Ogua,>50%,PT9,2,0,4,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0
Ogua,>50%,PT10,1,0,6,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0
Ogua,>50%,PT11,0,0,5,0,0,0,4,1,0,0,0,0,3,0,0,1,0,0
Ogua,>50%,PT12,0,0,9,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0
Ogua,>50%,PT13,3,0,4,0,1,1,7,1,0,0,0,0,1,0,0,0,0,0
Ogua,>50%,PT14,2,0,9,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
Ogua,>50%,PT15,4,0,18,0,1,4,3,0,0,0,0,0,3,0,0,0,0,0
Igueosagie,0,PT1,0,0,3,0,0,1,4,0,0,0,0,0,7,2,0,0,0,0
Igueosagie,0,PT2,1,0,1,0,0,1,16,0,0,0,0,0,2,0,0,1,0,0
Igueosagie,0,PT3,0,0,1,0,0,1,7,0,0,0,0,0,1,1,0,0,0,1
Igueosagie,0,PT4,0,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,2
Igueosagie,0,PT5,3,0,2,0,0,0,4,0,0,0,0,0,1,2,0,0,0,0
Igueosagie,0,PT6,0,0,2,1,0,0,5,0,0,0,0,4,2,1,0,0,0,2
Igueosagie,0,PT7,0,0,2,1,0,0,22,0,0,0,0,0,5,0,0,0,0,2
Igueosagie,0,PT8,0,0,5,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1
Igueosagie,0,PT9,0,0,3,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2
Igueosagie,0,PT10,1,0,3,0,0,0,4,1,0,0,0,0,6,0,0,0,0,1
Igueosagie,0,PT11,1,0,1,0,0,0,3,5,0,0,0,0,3,0,0,0,0,1
Igueosagie,0,PT12,1,0,0,0,0,0,2,3,0,0,0,0,2,3,0,1,0,0
Igueosagie,0,PT13,0,0,3,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0
Igueosagie,0,PT14,1,1,1,0,0,0,2,1,0,0,0,0,3,1,0,0,0,1
Igueosagie,0,PT15,1,0,2,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0
Igueosagie,<50%,PT1,0,0,1,1,0,0,6,0,0,0,0,0,5,0,0,0,0,1
Igueosagie,<50%,PT2,1,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
Igueosagie,<50%,PT3,0,1,3,0,0,0,5,0,0,0,0,0,2,1,0,0,0,1
Igueosagie,<50%,PT4,0,0,1,0,0,0,3,2,0,0,0,0,2,1,0,0,0,0
Igueosagie,<50%,PT5,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Igueosagie,<50%,PT6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Igueosagie,<50%,PT7,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0
Igueosagie,<50%,PT8,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Igueosagie,<50%,PT9,6,0,3,0,0,0,5,1,0,0,0,0,3,1,0,0,0,1
Igueosagie,<50%,PT10,0,1,0,0,1,1,5,1,0,0,0,0,2,2,0,0,0,0
Igueosagie,<50%,PT11,1,3,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0
Igueosagie,<50%,PT12,1,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0
Igueosagie,<50%,PT13,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
Igueosagie,<50%,PT14,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Igueosagie,<50%,PT15,1,3,0,1,0,0,1,4,0,0,0,1,1,0,0,0,0,8
Igueosagie,>50%,PT1,1,0,3,0,0,1,2,6,0,0,0,0,4,0,0,0,0,1
Igueosagie,>50%,PT2,3,0,4,0,0,1,11,0,0,0,0,0,4,0,0,0,0,0
Igueosagie,>50%,PT3,0,0,2,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0
Igueosagie,>50%,PT4,0,0,1,1,0,1,3,0,0,0,0,0,2,0,0,0,0,0
Igueosagie,>50%,PT5,1,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
Igueosagie,>50%,PT6,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,1,0,0
Igueosagie,>50%,PT7,1,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Igueosagie,>50%,PT8,1,0,3,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0
Igueosagie,>50%,PT9,7,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0
Igueosagie,>50%,PT10,2,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,1
Igueosagie,>50%,PT11,1,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
Igueosagie,>50%,PT12,1,0,0,0,0,1,13,0,0,1,0,0,1,1,0,0,0,0
Igueosagie,>50%,PT13,0,0,1,0,0,2,17,1,0,0,1,0,0,0,1,0,0,0
Igueosagie,>50%,PT14,0,0,5,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0
Igueosagie,>50%,PT15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1
